EID
2-s2.0-85141287830
2-s2.0-85147882680
2-s2.0-85144588945
2-s2.0-85144732298
2-s2.0-85144512268
2-s2.0-85144503667
2-s2.0-85144114667
2-s2.0-85143657850
2-s2.0-85143556617
2-s2.0-85142696418
2-s2.0-85141921919
2-s2.0-85141919627
2-s2.0-85141531235
2-s2.0-85141269348
2-s2.0-85141056952
2-s2.0-85140266577
2-s2.0-85140099344
2-s2.0-85140055634
2-s2.0-85139526718
2-s2.0-85138134704
2-s2.0-85137288685
2-s2.0-85137200201
2-s2.0-85136194158
2-s2.0-85136026214
2-s2.0-85135552046
2-s2.0-85134422086
2-s2.0-85133908753
2-s2.0-85133710137
2-s2.0-85133623832
2-s2.0-85133367171
2-s2.0-85132682555
2-s2.0-85130731987
2-s2.0-85127460134
2-s2.0-85127049942
2-s2.0-85126734264
2-s2.0-85125019978
2-s2.0-85118553594
2-s2.0-85117840556
2-s2.0-85138405345
2-s2.0-85142230517
2-s2.0-85148094656
2-s2.0-85143570393
2-s2.0-85142479727
2-s2.0-85142136429
2-s2.0-85141867796
2-s2.0-85141807932
2-s2.0-85141625315
2-s2.0-85141554462
2-s2.0-85139724292
2-s2.0-85139592291
2-s2.0-85139454448
2-s2.0-85135937753
2-s2.0-85135191249
2-s2.0-85133930006
2-s2.0-85140913941
2-s2.0-85135717752
2-s2.0-85140778431
2-s2.0-85139948406
2-s2.0-85139313999
2-s2.0-85138460032
2-s2.0-85138458785
2-s2.0-85131967718
2-s2.0-85116832586
2-s2.0-85138183355
2-s2.0-85133863573
2-s2.0-85132509380
2-s2.0-85140017986
2-s2.0-85139987120
2-s2.0-85138427481
2-s2.0-85137831845
2-s2.0-85137736227
2-s2.0-85135516728
2-s2.0-85132122310
2-s2.0-85131141583
2-s2.0-85129522080
2-s2.0-85125651894
2-s2.0-85123983457
2-s2.0-85121667639
2-s2.0-85121417293
2-s2.0-85138003423
2-s2.0-85129369576
2-s2.0-85129457791
2-s2.0-85136799592
2-s2.0-85136656595
2-s2.0-85136515127
2-s2.0-85135421247
2-s2.0-85132515211
2-s2.0-85129243436
2-s2.0-85124725941
2-s2.0-85103199150
2-s2.0-85135065475
2-s2.0-85130409267
2-s2.0-85135137665
2-s2.0-85134137962
2-s2.0-85133924925
2-s2.0-85133477231
2-s2.0-85133453134
2-s2.0-85132453422
2-s2.0-85130304007
2-s2.0-85129949325
2-s2.0-85129116076
2-s2.0-85127807945
2-s2.0-85125796847
2-s2.0-85134173888
2-s2.0-85132447832
2-s2.0-85131709676
2-s2.0-85131018177
2-s2.0-85129482146
2-s2.0-85115111934
2-s2.0-85109001775
2-s2.0-85123893448
2-s2.0-85130734598
2-s2.0-85123866890
2-s2.0-85130644578
2-s2.0-85129251223
2-s2.0-85128488768
2-s2.0-85126976110
2-s2.0-85126967803
2-s2.0-85124976436
2-s2.0-85124695215
2-s2.0-85124485726
2-s2.0-85121659385
2-s2.0-85120744517
2-s2.0-85119903568
2-s2.0-85128802040
2-s2.0-85118969400
2-s2.0-85132844317
2-s2.0-85132840615
2-s2.0-85126300079
2-s2.0-85133031365
2-s2.0-85130698552
2-s2.0-85128393517
2-s2.0-85127288748
2-s2.0-85124820582
2-s2.0-85123774233
2-s2.0-85123062091
2-s2.0-85121478184
2-s2.0-85120916582
2-s2.0-85120572942
2-s2.0-85118739414
2-s2.0-85116533513
2-s2.0-85098774184
2-s2.0-85097005161
2-s2.0-85127146955
2-s2.0-85126841634
2-s2.0-85126448507
2-s2.0-85125682703
2-s2.0-85125405791
2-s2.0-85123888898
2-s2.0-85122316213
2-s2.0-85119324661
2-s2.0-85119110943
2-s2.0-85108967412
2-s2.0-85126216105
2-s2.0-85113316869
2-s2.0-85122037114
2-s2.0-85106703816
2-s2.0-85124930056
2-s2.0-85123608033
2-s2.0-85119040217
2-s2.0-85116434365
2-s2.0-85108092879
2-s2.0-85123568131
2-s2.0-85123271468
2-s2.0-85120716459
2-s2.0-85148689056
2-s2.0-85148538187



2-s2.0-85146415287
2-s2.0-85146122393
2-s2.0-85145438728
2-s2.0-85145423686
2-s2.0-85145381644
2-s2.0-85145069548
2-s2.0-85144797263
2-s2.0-85144776444
2-s2.0-85144704115
2-s2.0-85144322129
2-s2.0-85143762876
2-s2.0-85143441697
2-s2.0-85143239828
2-s2.0-85143206296
2-s2.0-85142295913
2-s2.0-85142219845
2-s2.0-85141678632
2-s2.0-85141584151
2-s2.0-85141521242
2-s2.0-85141196826
2-s2.0-85141161164
2-s2.0-85141083923
2-s2.0-85140918454
2-s2.0-85140854068
2-s2.0-85140747615
2-s2.0-85140737841
2-s2.0-85140719505
2-s2.0-85140440908
2-s2.0-85140261093
2-s2.0-85140042972
2-s2.0-85139800623
2-s2.0-85139770055




2-s2.0-85139227799
2-s2.0-85139180480
2-s2.0-85139035227
2-s2.0-85138794892
2-s2.0-85138237718
2-s2.0-85137932084
2-s2.0-85137811677
2-s2.0-85137180070
2-s2.0-85137156006
2-s2.0-85137011497
